I	one
MDCXXXVI	one thousand, six hundred thirty six
MDCXXXVII	one thousand, six hundred thirty seven
MDCXXXVIII	one thousand, six hundred thirty eight
MDCXXXIX	one thousand, six hundred thirty nine
MDCXL	one thousand, six hundred forty
MDCXLI	one thousand, six hundred forty one
MDCXLII	one thousand, six hundred forty two
MDCXLIII	one thousand, six hundred forty three
MDCXLIV	one thousand, six hundred forty four
MDCXLV	one thousand, six hundred forty five
MDCXLVI	one thousand, six hundred forty six
MDCXLVII	one thousand, six hundred forty seven
MDCXLVIII	one thousand, six hundred forty eight
MDCXLIX	one thousand, six hundred forty nine
MDCL	one thousand, six hundred fifty
MDCLI	one thousand, six hundred fifty one
MDCLII	one thousand, six hundred fifty two
MDCLIII	one thousand, six hundred fifty three
MDCLIV	one thousand, six hundred fifty four
MDCLV	one thousand, six hundred fifty five
MDCLVI	one thousand, six hundred fifty six
MDCLVII	one thousand, six hundred fifty seven
MDCLVIII	one thousand, six hundred fifty eight
MDCLIX	one thousand, six hundred fifty nine
MDCLX	one thousand, six hundred sixty
MDCLXI	one thousand, six hundred sixty one
MDCLXII	one thousand, six hundred sixty two
MDCLXIII	one thousand, six hundred sixty three
MDCLXIV	one thousand, six hundred sixty four
MDCLXV	one thousand, six hundred sixty five
MDCLXVI	one thousand, six hundred sixty six
MDCLXVII	one thousand, six hundred sixty seven
MDCLXVIII	one thousand, six hundred sixty eight
MDCLXIX	one thousand, six hundred sixty nine
MDCLXX	one thousand, six hundred seventy
MDCLXXI	one thousand, six hundred seventy one
MDCLXXII	one thousand, six hundred seventy two
MDCLXXIII	one thousand, six hundred seventy three
MDCLXXIV	one thousand, six hundred seventy four
MDCLXXV	one thousand, six hundred seventy five
MDCLXXVI	one thousand, six hundred seventy six
MDCLXXVII	one thousand, six hundred seventy seven
MDCLXXVIII	one thousand, six hundred seventy eight
MDCLXXIX	one thousand, six hundred seventy nine
MDCLXXX	one thousand, six hundred eighty
MDCLXXXI	one thousand, six hundred eighty one
MDCLXXXII	one thousand, six hundred eighty two
MDCLXXXIII	one thousand, six hundred eighty three
MDCLXXXIV	one thousand, six hundred eighty four
MDCLXXXV	one thousand, six hundred eighty five
MDCLXXXVI	one thousand, six hundred eighty six
MDCLXXXVII	one thousand, six hundred eighty seven
MDCLXXXVIII	one thousand, six hundred eighty eight
MDCLXXXIX	one thousand, six hundred eighty nine
MDCXC	one thousand, six hundred ninety
MDCXCI	one thousand, six hundred ninety one
MDCXCII	one thousand, six hundred ninety two
MDCXCIII	one thousand, six hundred ninety three
MDCXCIV	one thousand, six hundred ninety four
MDCXCV	one thousand, six hundred ninety five
MDCXCVI	one thousand, six hundred ninety six
MDCXCVII	one thousand, six hundred ninety seven
MDCXCVIII	one thousand, six hundred ninety eight
MDCXCIX	one thousand, six hundred ninety nine
MDCC	one thousand, seven hundred
MDCCI	one thousand, seven hundred one
MDCCII	one thousand, seven hundred two
MDCCIII	one thousand, seven hundred three
MDCCIV	one thousand, seven hundred four
MDCCV	one thousand, seven hundred five
MDCCVI	one thousand, seven hundred six
MDCCVII	one thousand, seven hundred seven
MDCCVIII	one thousand, seven hundred eight
MDCCIX	one thousand, seven hundred nine
MDCCX	one thousand, seven hundred ten
MDCCXI	one thousand, seven hundred eleven
MDCCXII	one thousand, seven hundred twelve
MDCCXIII	one thousand, seven hundred thirteen
MDCCXIV	one thousand, seven hundred fourteen
MDCCXV	one thousand, seven hundred fifteen
MDCCXVI	one thousand, seven hundred sixteen
MDCCXVII	one thousand, seven hundred seventeen
MDCCXVIII	one thousand, seven hundred eighteen
MDCCXIX	one thousand, seven hundred nineteen
MDCCXX	one thousand, seven hundred twenty
MDCCXXI	one thousand, seven hundred twenty one
MDCCXXII	one thousand, seven hundred twenty two
MDCCXXIII	one thousand, seven hundred twenty three
MDCCXXIV	one thousand, seven hundred twenty four
MDCCXXV	one thousand, seven hundred twenty five
MDCCXXVI	one thousand, seven hundred twenty six
MDCCXXVII	one thousand, seven hundred twenty seven
MDCCXXVIII	one thousand, seven hundred twenty eight
MDCCXXIX	one thousand, seven hundred twenty nine
MDCCXXX	one thousand, seven hundred thirty
MDCCXXXI	one thousand, seven hundred thirty one
MDCCXXXII	one thousand, seven hundred thirty two
MDCCXXXIII	one thousand, seven hundred thirty three
MDCCXXXIV	one thousand, seven hundred thirty four
MDCCXXXV	one thousand, seven hundred thirty five
MDCCXXXVI	one thousand, seven hundred thirty six
MDCCXXXVII	one thousand, seven hundred thirty seven
MDCCXXXVIII	one thousand, seven hundred thirty eight
MDCCXXXIX	one thousand, seven hundred thirty nine
MDCCXL	one thousand, seven hundred forty
MDCCXLI	one thousand, seven hundred forty one
MDCCXLII	one thousand, seven hundred forty two
MDCCXLIII	one thousand, seven hundred forty three
MDCCXLIV	one thousand, seven hundred forty four
MDCCXLV	one thousand, seven hundred forty five
MDCCXLVI	one thousand, seven hundred forty six
MDCCXLVII	one thousand, seven hundred forty seven
MDCCXLVIII	one thousand, seven hundred forty eight
MDCCXLIX	one thousand, seven hundred forty nine
MDCCL	one thousand, seven hundred fifty
MDCCLI	one thousand, seven hundred fifty one
MDCCLII	one thousand, seven hundred fifty two
MDCCLIII	one thousand, seven hundred fifty three
MDCCLIV	one thousand, seven hundred fifty four
MDCCLV	one thousand, seven hundred fifty five
MDCCLVI	one thousand, seven hundred fifty six
MDCCLVII	one thousand, seven hundred fifty seven
MDCCLVIII	one thousand, seven hundred fifty eight
MDCCLIX	one thousand, seven hundred fifty nine
MDCCLX	one thousand, seven hundred sixty
MDCCLXI	one thousand, seven hundred sixty one
MDCCLXII	one thousand, seven hundred sixty two
MDCCLXIII	one thousand, seven hundred sixty three
MDCCLXIV	one thousand, seven hundred sixty four
MDCCLXV	one thousand, seven hundred sixty five
MDCCLXVI	one thousand, seven hundred sixty six
MDCCLXVII	one thousand, seven hundred sixty seven
MDCCLXVIII	one thousand, seven hundred sixty eight
MDCCLXIX	one thousand, seven hundred sixty nine
MDCCLXX	one thousand, seven hundred seventy
MDCCLXXI	one thousand, seven hundred seventy one
MDCCLXXII	one thousand, seven hundred seventy two
MDCCLXXIII	one thousand, seven hundred seventy three
MDCCLXXIV	one thousand, seven hundred seventy four
MDCCLXXV	one thousand, seven hundred seventy five
MDCCLXXVI	one thousand, seven hundred seventy six
MDCCLXXVII	one thousand, seven hundred seventy seven
MDCCLXXVIII	one thousand, seven hundred seventy eight
MDCCLXXIX	one thousand, seven hundred seventy nine
MDCCLXXX	one thousand, seven hundred eighty
MDCCLXXXI	one thousand, seven hundred eighty one
MDCCLXXXII	one thousand, seven hundred eighty two
MDCCLXXXIII	one thousand, seven hundred eighty three
MDCCLXXXIV	one thousand, seven hundred eighty four
MDCCLXXXV	one thousand, seven hundred eighty five
MDCCLXXXVI	one thousand, seven hundred eighty six
MDCCLXXXVII	one thousand, seven hundred eighty seven
MDCCLXXXVIII	one thousand, seven hundred eighty eight
MDCCLXXXIX	one thousand, seven hundred eighty nine
MDCCXC	one thousand, seven hundred ninety
MDCCXCI	one thousand, seven hundred ninety one
MDCCXCII	one thousand, seven hundred ninety two
MDCCXCIII	one thousand, seven hundred ninety three
MDCCXCIV	one thousand, seven hundred ninety four
MDCCXCV	one thousand, seven hundred ninety five
MDCCXCVI	one thousand, seven hundred ninety six
MDCCXCVII	one thousand, seven hundred ninety seven
MDCCXCVIII	one thousand, seven hundred ninety eight
MDCCXCIX	one thousand, seven hundred ninety nine
MDCCC	one thousand, eight hundred
MDCCCI	one thousand, eight hundred one
MDCCCII	one thousand, eight hundred two
MDCCCIII	one thousand, eight hundred three
MDCCCIV	one thousand, eight hundred four
MDCCCV	one thousand, eight hundred five
MDCCCVI	one thousand, eight hundred six
MDCCCVII	one thousand, eight hundred seven
MDCCCVIII	one thousand, eight hundred eight
MDCCCIX	one thousand, eight hundred nine
MDCCCX	one thousand, eight hundred ten
MDCCCXI	one thousand, eight hundred eleven
MDCCCXII	one thousand, eight hundred twelve
MDCCCXIII	one thousand, eight hundred thirteen
MDCCCXIV	one thousand, eight hundred fourteen
MDCCCXV	one thousand, eight hundred fifteen
MDCCCXVI	one thousand, eight hundred sixteen
MDCCCXVII	one thousand, eight hundred seventeen
MDCCCXVIII	one thousand, eight hundred eighteen
MDCCCXIX	one thousand, eight hundred nineteen
MDCCCXX	one thousand, eight hundred twenty
MDCCCXXI	one thousand, eight hundred twenty one
MDCCCXXII	one thousand, eight hundred twenty two
MDCCCXXIII	one thousand, eight hundred twenty three
MDCCCXXIV	one thousand, eight hundred twenty four
MDCCCXXV	one thousand, eight hundred twenty five
MDCCCXXVI	one thousand, eight hundred twenty six
MDCCCXXVII	one thousand, eight hundred twenty seven
MDCCCXXVIII	one thousand, eight hundred twenty eight
MDCCCXXIX	one thousand, eight hundred twenty nine
MDCCCXXX	one thousand, eight hundred thirty
MDCCCXXXI	one thousand, eight hundred thirty one
MDCCCXXXII	one thousand, eight hundred thirty two
MDCCCXXXIII	one thousand, eight hundred thirty three
MDCCCXXXIV	one thousand, eight hundred thirty four
MDCCCXXXV	one thousand, eight hundred thirty five
MDCCCXXXVI	one thousand, eight hundred thirty six
MDCCCXXXVII	one thousand, eight hundred thirty seven
MDCCCXXXVIII	one thousand, eight hundred thirty eight
MDCCCXXXIX	one thousand, eight hundred thirty nine
MDCCCXL	one thousand, eight hundred forty
MDCCCXLI	one thousand, eight hundred forty one
MDCCCXLII	one thousand, eight hundred forty two
MDCCCXLIII	one thousand, eight hundred forty three
MDCCCXLIV	one thousand, eight hundred forty four
MDCCCXLV	one thousand, eight hundred forty five
MDCCCXLVI	one thousand, eight hundred forty six
MDCCCXLVII	one thousand, eight hundred forty seven
MDCCCXLVIII	one thousand, eight hundred forty eight
MDCCCXLIX	one thousand, eight hundred forty nine
MDCCCL	one thousand, eight hundred fifty
MDCCCLI	one thousand, eight hundred fifty one
MDCCCLII	one thousand, eight hundred fifty two
MDCCCLIII	one thousand, eight hundred fifty three
MDCCCLIV	one thousand, eight hundred fifty four
MDCCCLV	one thousand, eight hundred fifty five
MDCCCLVI	one thousand, eight hundred fifty six
MDCCCLVII	one thousand, eight hundred fifty seven
MDCCCLVIII	one thousand, eight hundred fifty eight
MDCCCLIX	one thousand, eight hundred fifty nine
MDCCCLX	one thousand, eight hundred sixty
MDCCCLXI	one thousand, eight hundred sixty one
MDCCCLXII	one thousand, eight hundred sixty two
MDCCCLXIII	one thousand, eight hundred sixty three
MDCCCLXIV	one thousand, eight hundred sixty four
MDCCCLXV	one thousand, eight hundred sixty five
MDCCCLXVI	one thousand, eight hundred sixty six
MDCCCLXVII	one thousand, eight hundred sixty seven
MDCCCLXVIII	one thousand, eight hundred sixty eight
MDCCCLXIX	one thousand, eight hundred sixty nine
MDCCCLXX	one thousand, eight hundred seventy
MDCCCLXXI	one thousand, eight hundred seventy one
MDCCCLXXII	one thousand, eight hundred seventy two
MDCCCLXXIII	one thousand, eight hundred seventy three
MDCCCLXXIV	one thousand, eight hundred seventy four
MDCCCLXXV	one thousand, eight hundred seventy five
MDCCCLXXVI	one thousand, eight hundred seventy six
MDCCCLXXVII	one thousand, eight hundred seventy seven
MDCCCLXXVIII	one thousand, eight hundred seventy eight
MDCCCLXXIX	one thousand, eight hundred seventy nine
MDCCCLXXX	one thousand, eight hundred eighty
MDCCCLXXXI	one thousand, eight hundred eighty one
MDCCCLXXXII	one thousand, eight hundred eighty two
MDCCCLXXXIII	one thousand, eight hundred eighty three
MDCCCLXXXIV	one thousand, eight hundred eighty four
MDCCCLXXXV	one thousand, eight hundred eighty five
MDCCCLXXXVI	one thousand, eight hundred eighty six
MDCCCLXXXVII	one thousand, eight hundred eighty seven
MDCCCLXXXVIII	one thousand, eight hundred eighty eight
MDCCCLXXXIX	one thousand, eight hundred eighty nine
MDCCCXC	one thousand, eight hundred ninety
MDCCCXCI	one thousand, eight hundred ninety one
MDCCCXCII	one thousand, eight hundred ninety two
MDCCCXCIII	one thousand, eight hundred ninety three
MDCCCXCIV	one thousand, eight hundred ninety four
MDCCCXCV	one thousand, eight hundred ninety five
MDCCCXCVI	one thousand, eight hundred ninety six
MDCCCXCVII	one thousand, eight hundred ninety seven
MDCCCXCVIII	one thousand, eight hundred ninety eight
MDCCCXCIX	one thousand, eight hundred ninety nine
MCM	one thousand, nine hundred
MCMI	one thousand, nine hundred one
MCMII	one thousand, nine hundred two
MCMIII	one thousand, nine hundred three
MCMIV	one thousand, nine hundred four
MCMV	one thousand, nine hundred five
MCMVI	one thousand, nine hundred six
MCMVII	one thousand, nine hundred seven
MCMVIII	one thousand, nine hundred eight
MCMIX	one thousand, nine hundred nine
MCMX	one thousand, nine hundred ten
MCMXI	one thousand, nine hundred eleven
MCMXII	one thousand, nine hundred twelve
MCMXIII	one thousand, nine hundred thirteen
MCMXIV	one thousand, nine hundred fourteen
MCMXV	one thousand, nine hundred fifteen
MCMXVI	one thousand, nine hundred sixteen
MCMXVII	one thousand, nine hundred seventeen
MCMXVIII	one thousand, nine hundred eighteen
MCMXIX	one thousand, nine hundred nineteen
MCMXX	one thousand, nine hundred twenty
MCMXXI	one thousand, nine hundred twenty one
MCMXXII	one thousand, nine hundred twenty two
MCMXXIII	one thousand, nine hundred twenty three
MCMXXIV	one thousand, nine hundred twenty four
MCMXXV	one thousand, nine hundred twenty five
MCMXXVI	one thousand, nine hundred twenty six
MCMXXVII	one thousand, nine hundred twenty seven
MCMXXVIII	one thousand, nine hundred twenty eight
MCMXXIX	one thousand, nine hundred twenty nine
MCMXXX	one thousand, nine hundred thirty
MCMXXXI	one thousand, nine hundred thirty one
MCMXXXII	one thousand, nine hundred thirty two
MCMXXXIII	one thousand, nine hundred thirty three
MCMXXXIV	one thousand, nine hundred thirty four
MCMXXXV	one thousand, nine hundred thirty five
MCMXXXVI	one thousand, nine hundred thirty six
MCMXXXVII	one thousand, nine hundred thirty seven
MCMXXXVIII	one thousand, nine hundred thirty eight
MCMXXXIX	one thousand, nine hundred thirty nine
MCMXL	one thousand, nine hundred forty
MCMXLI	one thousand, nine hundred forty one
MCMXLII	one thousand, nine hundred forty two
MCMXLIII	one thousand, nine hundred forty three
MCMXLIV	one thousand, nine hundred forty four
MCMXLV	one thousand, nine hundred forty five
MCMXLVI	one thousand, nine hundred forty six
MCMXLVII	one thousand, nine hundred forty seven
MCMXLVIII	one thousand, nine hundred forty eight
MCMXLIX	one thousand, nine hundred forty nine
MCML	one thousand, nine hundred fifty
MCMLI	one thousand, nine hundred fifty one
MCMLII	one thousand, nine hundred fifty two
MCMLIII	one thousand, nine hundred fifty three
MCMLIV	one thousand, nine hundred fifty four
MCMLV	one thousand, nine hundred fifty five
MCMLVI	one thousand, nine hundred fifty six
MCMLVII	one thousand, nine hundred fifty seven
MCMLVIII	one thousand, nine hundred fifty eight
MCMLIX	one thousand, nine hundred fifty nine
MCMLX	one thousand, nine hundred sixty
MCMLXI	one thousand, nine hundred sixty one
MCMLXII	one thousand, nine hundred sixty two
MCMLXIII	one thousand, nine hundred sixty three
MCMLXIV	one thousand, nine hundred sixty four
MCMLXV	one thousand, nine hundred sixty five
MCMLXVI	one thousand, nine hundred sixty six
MCMLXVII	one thousand, nine hundred sixty seven
MCMLXVIII	one thousand, nine hundred sixty eight
MCMLXIX	one thousand, nine hundred sixty nine
MCMLXX	one thousand, nine hundred seventy
MCMLXXI	one thousand, nine hundred seventy one
MCMLXXII	one thousand, nine hundred seventy two
MCMLXXIII	one thousand, nine hundred seventy three
MCMLXXIV	one thousand, nine hundred seventy four
MCMLXXV	one thousand, nine hundred seventy five
MCMLXXVI	one thousand, nine hundred seventy six
MCMLXXVII	one thousand, nine hundred seventy seven
MCMLXXVIII	one thousand, nine hundred seventy eight
MCMLXXIX	one thousand, nine hundred seventy nine
MCMLXXX	one thousand, nine hundred eighty
MCMLXXXI	one thousand, nine hundred eighty one
MCMLXXXII	one thousand, nine hundred eighty two
MCMLXXXIII	one thousand, nine hundred eighty three
MCMLXXXIV	one thousand, nine hundred eighty four
MCMLXXXV	one thousand, nine hundred eighty five
MCMLXXXVI	one thousand, nine hundred eighty six
MCMLXXXVII	one thousand, nine hundred eighty seven
MCMLXXXVIII	one thousand, nine hundred eighty eight
MCMLXXXIX	one thousand, nine hundred eighty nine
MCMXC	one thousand, nine hundred ninety
MCMXCI	one thousand, nine hundred ninety one
MCMXCII	one thousand, nine hundred ninety two
MCMXCIII	one thousand, nine hundred ninety three
MCMXCIV	one thousand, nine hundred ninety four
MCMXCV	one thousand, nine hundred ninety five
MCMXCVI	one thousand, nine hundred ninety six
MCMXCVII	one thousand, nine hundred ninety seven
MCMXCVIII	one thousand, nine hundred ninety eight
MCMXCIX	one thousand, nine hundred ninety nine
MM	two thousand
